county_fips_code,county_name,state_name,forecast_date,prediction_date,new_confirmed,cumulative_confirmed,new_deaths,cumulative_deaths,hospitalized_patients,recovered,new_confirmed_ground_truth,cumulative_confirmed_ground_truth,new_deaths_ground_truth,cumulative_deaths_ground_truth,hospitalized_patients_ground_truth,recovered_documented_ground_truth
19061,Dubuque,Iowa,9/19/2020,2/8/2020,,,,,,,,,,,,
19071,Fremont,Iowa,9/19/2020,2/8/2020,,,,,,,,,,,,
19021,Buena Vista,Iowa,9/19/2020,2/8/2020,,,,,,,,,,,,
19081,Hancock,Iowa,9/19/2020,2/8/2020,,,,,,,,,,,,
19117,Lucas,Iowa,9/19/2020,2/8/2020,,,,,,,,,,,,
19027,Carroll,Iowa,9/19/2020,2/8/2020,,,,,,,,,,,,
19183,Washington,Iowa,9/19/2020,2/8/2020,,,,,,,,,,,,
19079,Hamilton,Iowa,9/19/2020,2/8/2020,,,,,,,,,,,,
19019,Buchanan,Iowa,9/19/2020,2/8/2020,,,,,,,,,,,,
19191,Winneshiek,Iowa,9/19/2020,2/8/2020,,,,,,,,,,,,
19121,Madison,Iowa,9/19/2020,2/8/2020,,,,,,,,,,,,
19155,Pottawattamie,Iowa,9/19/2020,2/8/2020,,,,,,,,,,,,
19065,Fayette,Iowa,9/19/2020,2/8/2020,,,,,,,,,,,,
19025,Calhoun,Iowa,9/19/2020,2/8/2020,,,,,,,,,,,,
19009,Audubon,Iowa,9/19/2020,2/8/2020,,,,,,,,,,,,
19041,Clay,Iowa,9/19/2020,2/8/2020,,,,,,,,,,,,
19179,Wapello,Iowa,9/19/2020,2/8/2020,,,,,,,,,,,,
19151,Pocahontas,Iowa,9/19/2020,2/8/2020,,,,,,,,,,,,
19031,Cedar,Iowa,9/19/2020,2/8/2020,,,,,,,,,,,,
19103,Johnson,Iowa,9/19/2020,2/8/2020,,,,,,,,,,,,
19033,Cerro Gordo,Iowa,9/19/2020,2/8/2020,,,,,,,,,,,,
19143,Osceola,Iowa,9/19/2020,2/8/2020,,,,,,,,,,,,
19175,Union,Iowa,9/19/2020,2/8/2020,,,,,,,,,,,,
19115,Louisa,Iowa,9/19/2020,2/8/2020,,,,,,,,,,,,
19119,Lyon,Iowa,9/19/2020,2/8/2020,,,,,,,,,,,,
19069,Franklin,Iowa,9/19/2020,2/8/2020,,,,,,,,,,,,
19091,Humboldt,Iowa,9/19/2020,2/8/2020,,,,,,,,,,,,
19147,Palo Alto,Iowa,9/19/2020,2/8/2020,,,,,,,,,,,,
19057,Des Moines,Iowa,9/19/2020,2/8/2020,,,,,,,,,,,,
19149,Plymouth,Iowa,9/19/2020,2/8/2020,,,,,,,,,,,,
19153,Polk,Iowa,9/19/2020,2/8/2020,,,,,,,,,,,,
19015,Boone,Iowa,9/19/2020,2/8/2020,,,,,,,,,,,,
19049,Dallas,Iowa,9/19/2020,2/8/2020,,,,,,,,,,,,
19195,Worth,Iowa,9/19/2020,2/8/2020,,,,,,,,,,,,
19067,Floyd,Iowa,9/19/2020,2/8/2020,,,,,,,,,,,,
19097,Jackson,Iowa,9/19/2020,2/8/2020,,,,,,,,,,,,
19055,Delaware,Iowa,9/19/2020,2/8/2020,,,,,,,,,,,,
19029,Cass,Iowa,9/19/2020,2/8/2020,,,,,,,,,,,,
19095,Iowa,Iowa,9/19/2020,2/8/2020,,,,,,,,,,,,
19001,Adair,Iowa,9/19/2020,2/8/2020,,,,,,,,,,,,
19129,Mills,Iowa,9/19/2020,2/8/2020,,,,,,,,,,,,
19165,Shelby,Iowa,9/19/2020,2/8/2020,,,,,,,,,,,,
19169,Story,Iowa,9/19/2020,2/8/2020,,,,,,,,,,,,
19131,Mitchell,Iowa,9/19/2020,2/8/2020,,,,,,,,,,,,
19007,Appanoose,Iowa,9/19/2020,2/8/2020,,,,,,,,,,,,
19037,Chickasaw,Iowa,9/19/2020,2/8/2020,,,,,,,,,,,,
19045,Clinton,Iowa,9/19/2020,2/8/2020,,,,,,,,,,,,
19101,Jefferson,Iowa,9/19/2020,2/8/2020,,,,,,,,,,,,
19159,Ringgold,Iowa,9/19/2020,2/8/2020,,,,,,,,,,,,
19085,Harrison,Iowa,9/19/2020,2/8/2020,,,,,,,,,,,,
