date,location_key,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,new_recovered,new_tested,cumulative_confirmed,cumulative_deceased,cumulative_recovered,cumulative_tested,new_hospitalized_patients,new_intensive_care_patients,new_ventilator_patients,cumulative_hospitalized_patients,cumulative_intensive_care_patients,cumulative_ventilator_patients,current_hospitalized_patients,current_intensive_care_patients,current_ventilator_patients,mobility_transit_stations,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_residential,mobility_workplaces,wikidata_id,datacommons_id,openstreetmap_id,latitude,longitude,location_geometry,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm
9/13/2020,US_WV_54019,US,United States of America,WV,West Virginia,54019,Fayette County,US,USA,2,20,0,,,470,10,,,,,,,,,,,,,,,,,-16,Q504830,geoId/54019,1913184,38.03,-81.09,POINT(-81.09 38.03),21.194444,18.125,26.263889,0.326571,
9/14/2020,US_WV_54019,US,United States of America,WV,West Virginia,54019,Fayette County,US,USA,2,5,0,,,475,10,,,,,,,,,,,,,,,,2,-28,Q504830,geoId/54019,1913184,38.03,-81.09,POINT(-81.09 38.03),21.458333,18.0625,26.006944,2.467429,
9/15/2020,US_WV_54019,US,United States of America,WV,West Virginia,54019,Fayette County,US,USA,2,6,0,,,481,10,,,,,,,,,,,,,,,,1,-24,Q504830,geoId/54019,1913184,38.03,-81.09,POINT(-81.09 38.03),16.368056,12.888889,24.25,0.22225,
9/16/2020,US_WV_54019,US,United States of America,WV,West Virginia,54019,Fayette County,US,USA,2,11,0,,,492,10,,,,,,,,,,,,,,,,1,-27,Q504830,geoId/54019,1913184,38.03,-81.09,POINT(-81.09 38.03),14.805556,9.763889,21.027778,0,
9/17/2020,US_WV_54019,US,United States of America,WV,West Virginia,54019,Fayette County,US,USA,2,9,0,,,501,10,,,,,,,,,,,,,,,,2,-29,Q504830,geoId/54019,1913184,38.03,-81.09,POINT(-81.09 38.03),15.460317,9.944444,21.095238,1.820333,
9/18/2020,US_WV_54019,US,United States of America,WV,West Virginia,54019,Fayette County,US,USA,2,23,0,,,524,10,,,,,,,,,,,,,,,,,-28,Q504830,geoId/54019,1913184,38.03,-81.09,POINT(-81.09 38.03),17.173611,13.138889,21.0625,17.489714,
9/19/2020,US_WV_54019,US,United States of America,WV,West Virginia,54019,Fayette County,US,USA,2,10,0,,,534,10,,,,,,,,,,,,,,,,,-16,Q504830,geoId/54019,1913184,38.03,-81.09,POINT(-81.09 38.03),12.708333,8.555556,20.236111,0.03175,
9/20/2020,US_WV_54019,US,United States of America,WV,West Virginia,54019,Fayette County,US,USA,2,30,0,,,564,10,,,,,,,,,,,,,,,,,,Q504830,geoId/54019,1913184,38.03,-81.09,POINT(-81.09 38.03),10.784722,4.666667,17.625,0,
9/21/2020,US_WV_54019,US,United States of America,WV,West Virginia,54019,Fayette County,US,USA,2,5,0,,,569,10,,,,,,,,,,,,,,,,,,Q504830,geoId/54019,1913184,38.03,-81.09,POINT(-81.09 38.03),11.0625,4.305556,17.715278,0,
9/22/2020,US_WV_54019,US,United States of America,WV,West Virginia,54019,Fayette County,US,USA,2,8,1,,,577,11,,,,,,,,,,,,,,,,,,Q504830,geoId/54019,1913184,38.03,-81.09,POINT(-81.09 38.03),11.680556,4.201389,20.388889,0,
