state_fips_code,state_name,forecast_date,prediction_date,new_confirmed,cumulative_confirmed,new_deaths,cumulative_deaths,hospitalized_patients,intensive_care_patients,ventilator_patients,recovered,new_confirmed_ground_truth,cumulative_confirmed_ground_truth,new_deaths_ground_truth,cumulative_deaths_ground_truth,hospitalized_patients_ground_truth,intensive_care_patients_ground_truth,ventilator_patients_ground_truth,recovered_documented_ground_truth
09,Connecticut,9/19/2020,3/9/2020,,,,,,,,,0,0,0,0,,,,
16,Idaho,9/19/2020,3/9/2020,,,,,,,,,0,0,0,0,,,,
55,Wisconsin,9/19/2020,3/9/2020,,,,,,,,,0,0,0,0,,,,
26,Michigan,9/19/2020,3/9/2020,,,,,,,,,0,0,0,0,,,,
38,North Dakota,9/19/2020,3/9/2020,,,,,,,,,0,0,0,0,,,,
22,Louisiana,9/19/2020,3/9/2020,,,,,,,,,0,0,0,0,,,,
01,Alabama,9/19/2020,3/9/2020,,,,,,,,,0,0,0,0,,,,
30,Montana,9/19/2020,3/9/2020,,,,,,,,,0,0,0,0,,,,
28,Mississippi,9/19/2020,3/9/2020,,,,,,,,,0,0,0,0,,,,
54,West Virginia,9/19/2020,3/9/2020,,,,,,,,,0,0,0,0,,,,
11,District of Columbia,9/19/2020,3/9/2020,,,,,,,,,0,0,0,0,,,,
10,Delaware,9/19/2020,3/9/2020,,,,,,,,,0,0,0,0,,,,
02,Alaska,9/19/2020,3/9/2020,,,,,,,,,0,0,0,0,,,,
46,South Dakota,9/19/2020,3/9/2020,,,,,,,,,0,0,0,0,,,,
35,New Mexico,9/19/2020,3/9/2020,,,,,,,,,0,0,0,0,,,,
23,Maine,9/19/2020,3/9/2020,,,,,,,,,0,0,0,0,,,,
39,Ohio,9/19/2020,3/9/2020,,,,,,,,,0,0,0,0,,,,
56,Wyoming,9/19/2020,3/9/2020,,,,,,,,,0,0,0,0,,,,
05,Arkansas,9/19/2020,3/9/2020,,,,,,,,,0,0,0,0,,,,
51,Virginia,9/19/2020,3/9/2020,,,,,,,,,0,2,0,0,,,,
37,North Carolina,9/19/2020,3/9/2020,,,,,,,,,0,2,0,0,,,,
44,Rhode Island,9/19/2020,3/9/2020,,,,,,,,,0,3,0,0,,,,
47,Tennessee,9/19/2020,3/9/2020,,,,,,,,,0,3,0,0,,,,
04,Arizona,9/19/2020,3/9/2020,,,,,,,,,0,4,0,0,,,,
32,Nevada,9/19/2020,3/9/2020,,,,,,,,,0,4,0,0,,,,
33,New Hampshire,9/19/2020,3/9/2020,,,,,,,,,0,4,0,0,,,,
34,New Jersey,9/19/2020,3/9/2020,,,,,,,,,0,5,0,0,,,,
